BOOT_TIME_EPOCH1688710950070
BOOT_UPTIME_MILLIS 4939973
time, accel_x, accel_y, accel_z
4967925, -4.060566, 0.272939, 8.872911
4967935, -4.0078936, 0.25378537, 8.868123
4967945, -4.003105, 0.25857377, 8.8777
4967955, -3.9695864, 0.25378537, 8.920795
4967965, -3.9264908, 0.24420857, 8.887277
4967975, -3.8977604, 0.24899697, 8.882488
4967985, -3.9312792, 0.23463176, 8.968679
4967995, -4.003105, 0.21547815, 8.968679
4968005, -4.003105, 0.17717093, 9.021352
4968015, -4.027047, 0.18674773, 9.074024
4968025, -4.027047, 0.18195933, 9.112331
4968035, -4.0078936, 0.15801731, 9.165004
4968045, -4.0318356, 0.1436521, 9.198523
4968055, -4.0222588, 0.15801731, 9.188946
4968065, -3.9552212, 0.22984336, 9.107543
4968075, -3.9264908, 0.24420857, 9.054871
4968086, -3.9743748, 0.24899697, 8.992621
4968095, -4.003105, 0.2633622, 8.939949
4968105, -3.964798, 0.25857377, 8.90643
4968115, -4.027047, 0.25857377, 8.853758
4968125, -4.0462008, 0.2777274, 8.839393
4968135, -4.084508, 0.272939, 8.825027
4968145, -4.036624, 0.25378537, 8.767567
4968155, -4.0222588, 0.23942018, 8.738836
4968165, -4.027047, 0.23463176, 8.801085
4968175, -4.0222588, 0.22984336, 8.825027
4968185, -4.0222588, 0.20590134, 8.848969
4968195, -4.0653543, 0.23942018, 8.882488
4968205, -4.1036615, 0.22984336, 8.882488
4968215, -4.189853, 0.22026655, 8.901642
4968225, -4.175488, 0.22505496, 8.959103
4968235, -4.1276035, 0.21547815, 8.978256
4968245, -4.1036615, 0.17717093, 8.959103
4968255, -4.0174704, 0.22984336, 8.992621
4968265, -3.9839516, 0.22984336, 9.002198
4968275, -3.9312792, 0.25857377, 8.911219
4968285, -3.9695864, 0.30166942, 8.872911
4968295, -3.9600096, 0.33039984, 8.762778
4968305, -3.9312792, 0.30645782, 8.676587
4968315, -3.8786068, 0.2873042, 8.6574335
4968325, -3.8786068, 0.2777274, 8.662222
4968335, -3.9791632, 0.272939, 8.791509
4968345, -3.9791632, 0.23942018, 8.916007
4968355, -3.9791632, 0.25378537, 8.99741
4968365, -3.9791632, 0.2681506, 9.050082
4968375, -3.98874, 0.25378537, 9.093178
4968385, -3.8977604, 0.22984336, 9.016563
4968395, -3.9360676, 0.25378537, 8.963891
4968405, -3.940856, 0.23942018, 8.992621
4968415, -3.9504328, 0.2825158, 9.021352
4968425, -3.9552212, 0.20590134, 9.02614
4968435, -3.98874, 0.21547815, 9.093178
4968445, -3.9695864, 0.19632454, 9.188946
4968455, -3.9121256, 0.16759412, 9.26556
4968465, -3.9552212, 0.07182605, 9.23683
4968475, -3.9504328, 0.12928689, 9.270349
4968485, -3.9839516, 0.07182605, 9.23683
