BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
163172, 0, 1746.0, 208.0, 6.0, 4.0, 18.84955592153876, 1.0
163180, 0, 1745.0698, 208.0, 6.0, 4.0, 18.84955592153876, 1.0
163181, 0, 1745.0, 208.0, 6.0, 4.0, 18.84955592153876, 1.0
163189, 0, 1745.0, 209.0, 6.0, 4.0, 18.84955592153876, 1.0
163193, 0, 1745.0, 209.5, 6.0, 4.0, 18.84955592153876, 1.0
163206, 0, 1744.0, 211.0, 6.0, 4.0, 18.84955592153876, 1.0
163214, 0, 1743.0956, 211.90443, 6.0, 4.0, 18.84955592153876, 1.0
163214, 0, 1743.0, 212.0, 6.0, 4.0, 18.84955592153876, 1.0
163230, 0, 1742.051, 212.0, 6.0, 4.0, 18.84955592153876, 1.0
163231, 0, 1742.0, 212.0, 6.0, 4.0, 18.84955592153876, 1.0
163247, 0, 1742.0, 212.9425, 6.0, 4.0, 18.84955592153876, 1.0
163248, 0, 1742.0, 213.0, 6.0, 4.0, 18.84955592153876, 1.0
163263, 0, 1741.0654, 213.93462, 6.0, 4.0, 18.84955592153876, 1.0
163265, 0, 1741.0, 214.0, 6.0, 4.0, 18.84955592153876, 1.0
163273, 0, 1740.5231, 214.4769, 6.0, 4.0, 18.84955592153876, 1.0
163290, 0, 1740.0, 215.0, 4.0, 3.0, 9.42477796076938, 1.0
163297, 0, 1739.1576, 215.84238, 4.0, 3.0, 9.42477796076938, 1.0
163298, 0, 1739.0, 216.0, 4.0, 3.0, 9.42477796076938, 1.0
163306, 0, 1738.0, 217.0, 4.0, 3.0, 9.42477796076938, 1.0
163313, 0, 1737.1636, 217.8364, 4.0, 3.0, 9.42477796076938, 1.0
163315, 0, 1737.0, 218.0, 4.0, 3.0, 9.42477796076938, 1.0
163323, 0, 1736.0, 219.0, 4.0, 3.0, 9.42477796076938, 1.0
163330, 0, 1735.181, 219.81898, 4.0, 3.0, 9.42477796076938, 1.0
163332, 0, 1735.0, 220.0, 4.0, 3.0, 9.42477796076938, 1.0
163340, 0, 1734.0, 222.0, 4.0, 3.0, 9.42477796076938, 1.0
163347, 0, 1733.1938, 222.80618, 4.0, 3.0, 9.42477796076938, 1.0
163348, 0, 1733.0, 223.0, 4.0, 3.0, 9.42477796076938, 1.0
163357, 0, 1733.0, 224.0, 3.0, 3.0, 7.0685834705770345, 1.0
163363, 0, 1732.2009, 224.0, 3.0, 3.0, 7.0685834705770345, 1.0
